ThingID,Name,Lat,Long,ObsID
212,空品微型感測器-08BEAC0A0436-臺中市立成功國中,24.093421,120.6990579,1712
211,空品微型感測器-08BEAC0A034E-桃園市市立龍星國小,24.8627729,121.2180092,1709
213,空品微型感測器-08BEAC0A0430-桃園市市立楊光國(中)小,24.90670904,121.168344319,1715
215,空品微型感測器-08BEAC0A03FC-臺中市立東海國小,24.18456815,120.5929182,1721
214,空品微型感測器-08BEAC0A0438-臺中市立建功國小,24.17640666,120.7161183,1718
216,空品微型感測器-08BEAC0A03FE-臺中市立樹義國小,24.11108493,120.6569166,1724
217,空品微型感測器-08BEAC0A0500-臺南市市立公園國小,22.98548962,120.2168919,1727
218,空品微型感測器-08BEAC0A0506-桃園市市立山頂國小,24.991961,121.3274875,1730
219,空品微型感測器-08BEAC0A0238-臺中市立石岡國小,24.27606302,120.7736867,1733
220,空品微型感測器-08BEAC0A0726-嘉義縣縣立水上國中,23.42573349,120.3948068,1736
1627,空品微型感測器-74DA38F7C4BA-臺北市備品,25.001,121.524,5957
221,空品微型感測器-08BEAC0A0724-臺南市市立正新國小,23.03327523,120.301495,1739
222,空品微型感測器-08BEAC0A0728-嘉義縣縣立梅山國中,23.58753706,120.5595796,1742
223,空品微型感測器-08BEAC0A065E-嘉義縣縣立黎明國小,23.46280713,120.5981585,1745
224,空品微型感測器-08BEAC0A065C-桃園市市立中興國中,24.9963352,121.2907131,1748
225,空品微型感測器-08BEAC0A065A-雲林縣縣立四湖國中,23.63048672,120.2264732,1751
226,空品微型感測器-08BEAC09FF98-臺中市立順天國中,24.35006086,120.6152084,1754
227,空品微型感測器-08BEAC0A01D4-臺中市立大安國小,24.345443788,120.588343441,1757
228,空品微型感測器-08BEAC0A01D8-雲林縣縣立吳厝國小,23.75192587,120.4315397,1760
229,空品微型感測器-08BEAC09FF90-臺中市立大甲高中,24.341759249,120.621853285,1763
230,空品微型感測器-08BEAC0A0810-臺南市市立柳營國小,23.275440216,120.312637329,1766
231,空品微型感測器-08BEAC0A03F8-臺中市立大新國小,24.14505616,120.6471494,1769
232,空品微型感測器-08BEAC0A049A-嘉義縣縣立龍港國小,23.4639197,120.2139421,1772
233,空品微型感測器-08BEAC0A024E-雲林縣私立淵明代用國中,23.75421788,120.6143898,1775
234,空品微型感測器-08BEAC0A02B2-雲林縣縣立西螺國中,23.79285151,120.4604949,1778
235,空品微型感測器-08BEAC0A02B6-臺南市市立河東國小,23.344817308,120.437442027,1781
236,空品微型感測器-08BEAC0A02BC-桃園市市立青溪國小,24.9997673,121.3185205,1784
238,空品微型感測器-08BEAC0A02BE-嘉義縣縣立大吉國中,23.51533835,120.487405,1790
237,空品微型感測器-08BEAC0A02BA-桃園市市立建德國小,24.97663333,121.314715,1787
239,空品微型感測器-08BEAC0A0324-臺南市市立文昌國小,23.30911569,120.2524718,1793
240,空品微型感測器-08BEAC0A0320-雲林縣縣立久安國小,23.6769626,120.5135611,1796
241,空品微型感測器-08BEAC0A0884-桃園市市立迴龍國(中)小,25.01941502,121.4053416,1799
242,空品微型感測器-08BEAC0A0880-雲林縣縣立龍岩國小,23.7224742,120.3085176,1802
243,空品微型感測器-08BEAC0A0888-臺中市立山陽國小,24.16372951,120.5447481,1805
244,空品微型感測器-08BEAC0A05E0-臺南市市立善化國中,23.14732595,120.2873474,1808
245,空品微型感測器-08BEAC0A05E2-臺南市市立玉山國小,23.07473241,120.5190658,1811
246,空品微型感測器-08BEAC0A05E8-嘉義縣縣立福樂國小,23.52865101,120.4519102,1814
247,空品微型感測器-08BEAC0A05EC-桃園市市立北湖國小,25.00473962,121.0497074,1817
248,空品微型感測器-08BEAC0A03EE-桃園市市立福安國小,24.85024768,121.2887514,1820
249,空品微型感測器-08BEAC0A03EC-桃園市市立山東國小,25.01631438,121.1732071,1823
250,空品微型感測器-08BEAC0A0868-臺南市市立新南國小,22.99096149,120.1958392,1826
251,空品微型感測器-08BEAC0A0866-臺南市市立永康區復興國小,23.0012034,120.2388601,1829
252,空品微型感測器-08BEAC0A0860-桃園市市立富岡國中,24.94179393,121.0738458,1832
253,空品微型感測器-08BEAC0A0862-臺南市市立仁光國小,23.29974037,120.2574054,1835
254,空品微型感測器-08BEAC0A086E-臺南市市立新泰國小,23.3158272,120.3260708,1838
255,空品微型感測器-08BEAC0A086C-桃園市市立會稽國中,25.01745469,121.3126967,1841
256,空品微型感測器-08BEAC0A0402-臺中市立進德國小,24.14498002,120.6938252,1844
257,空品微型感測器-08BEAC0A0656-臺南市市立協進國小,22.98477921,120.2013926,1847
258,空品微型感測器-08BEAC0A072C-嘉義縣縣立忠和國小,23.42628481,120.4481552,1850
259,空品微型感測器-08BEAC0A072A-臺南市市立下營國中,23.2386991,120.2717133,1853
260,空品微型感測器-08BEAC0A072E-臺南市市立太子國中,23.29157741,120.2709931,1856
261,空品微型感測器-08BEAC0A023E-嘉義縣縣立祥和國小,23.4563642,120.2886829,1859
262,空品微型感測器-08BEAC0A023C-桃園市市立幸福國小,24.9891248,121.3306811,1862
263,空品微型感測器-08BEAC0A0886-嘉義縣縣立阿里山國(中)小,23.46806879,120.7011401,1865
264,空品微型感測器-08BEAC0A03EA-桃園市市立仁善國小,24.90896893,121.2791878,1868
266,空品微型感測器-08BEAC0A0532-臺南市市立北勢國小,23.20546338,120.2402751,1874
267,空品微型感測器-08BEAC0A071A-臺南市市立南寧高中附設國中,22.96416651,120.2344983,1877
268,空品微型感測器-08BEAC0A0084-桃園市市立中山國小,24.9864558,121.2899308,1880
269,空品微型感測器-08BEAC0A0082-臺中市立豐東國中,24.2473302,120.7289769,1883
270,空品微型感測器-08BEAC0A0080-桃園市市立高榮國小,24.93685602,121.1640445,1886
265,空品微型感測器-08BEAC0A03E4-雲林縣縣立旭光國小,23.8047316,120.3655893,1871
271,空品微型感測器-08BEAC0A040C-臺中市立大同國小,24.13569248,120.6783315,1889
273,空品微型感測器-08BEAC0A0666-雲林縣縣立林厝國小,23.6691334,120.1788179,1895
272,空品微型感測器-08BEAC0A0662-雲林縣縣立崙背國中,23.7573052,120.3491551,1892
274,空品微型感測器-08BEAC0A0392-臺南市市立裕文國小,22.9828133,120.2457957,1898
275,空品微型感測器-08BEAC0A0394-臺南市市立三村國小,23.038545,120.2352257,1901
276,空品微型感測器-08BEAC0A02C8-雲林縣縣立中興國小,23.5186585,120.2071884,1904
277,空品微型感測器-08BEAC0A02C4-臺南市市立下營國小,23.2317069,120.2613726,1907
278,空品微型感測器-08BEAC0A02C6-雲林縣縣立華南國小,23.59663884,120.5744848,1910
279,空品微型感測器-08BEAC0A02C0-雲林縣縣立九芎國小,23.7440072,120.6027297,1913
280,空品微型感測器-08BEAC0A066C-桃園市市立潛龍國小,24.880657931,121.210290715,1916
281,空品微型感測器-08BEAC0A066A-臺南市市立佳興國中,23.18310499,120.1957565,1919
282,空品微型感測器-08BEAC0A02CA-桃園市市立龍山國小,24.9812977,121.2707034,1922
283,空品微型感測器-08BEAC0A02CC-臺中市立溪尾國小,24.04114339,120.6399108,1925
284,空品微型感測器-08BEAC0A089A-臺南市市立大內國中,23.11218142,120.3646334,1928
285,空品微型感測器-08BEAC0A089E-臺南市市立玉井國小,23.12125929,120.4587371,1931
286,空品微型感測器-08BEAC0A052E-臺南市市立官田國小,23.18896588,120.34187,1934
287,空品微型感測器-08BEAC0A0890-雲林縣縣立斗南高中,23.6819522,120.4764604,1937
288,空品微型感測器-08BEAC0A0892-桃園市市立龍安國小,24.99117713,121.266878,1940
289,空品微型感測器-08BEAC0A0896-雲林縣縣立宜梧國中,23.54712367,120.1947051,1943
291,空品微型感測器-08BEAC0A05D6-桃園市市立埔心國小,25.04917734,121.2252062,1949
290,空品微型感測器-08BEAC0A0898-桃園市市立大坡國小,24.95765475,121.0402594,1946
292,空品微型感測器-08BEAC0A0404-臺中市立樂業國小,24.14765096,120.686749,1952
293,空品微型感測器-08BEAC0A0408-臺南市市立永康區勝利國小,23.0039843,120.230354,1955
294,空品微型感測器-08BEAC0A008E-臺中市立益民國小,24.113309,120.683704,1958
295,空品微型感測器-08BEAC0A008A-臺中市立東光國小,24.17158833,120.7016649,1961
296,空品微型感測器-08BEAC0A0660-雲林縣縣立宏仁國小,23.6044626,120.2414523,1964
297,空品微型感測器-08BEAC0A0420-臺中市立陳平國小,24.18476584,120.667820647,1967
298,空品微型感測器-08BEAC0A05D8-嘉義縣縣立興中國小,23.52658487,120.4201294,1970
299,空品微型感測器-08BEAC0A01FA-雲林縣縣立三崙國小,23.65143477,120.1554644,1973
300,空品微型感測器-08BEAC0A07F6-桃園市市立高義國小,24.7116256,121.3603981,1976
301,空品微型感測器-08BEAC0A087E-桃園市市立龍潭國中,24.85648905,121.2173497,1979
302,空品微型感測器-08BEAC0A087A-桃園市市立新明國中,24.9567785,121.2126603,1982
303,空品微型感測器-08BEAC0A07F0-臺南市市立六甲國中,23.22733286,120.348667614,1985
304,空品微型感測器-74DA38F210D8-高雄市市立茄萣國中,22.906,120.181,1988
305,空品微型感測器-08BEAC0A0250-嘉義縣縣立景山國小,23.38272987,120.193133,1991
306,空品微型感測器-08BEAC0A05D4-嘉義縣縣立新美國小,23.33856967,120.6831187,1994
307,空品微型感測器-08BEAC0A05D2-臺南市市立立人國小,22.98548962,120.2168919,1997
308,空品微型感測器-08BEAC0A05D0-嘉義縣縣立過溝國小,23.41983612,120.1831841,2000
309,空品微型感測器-08BEAC0A01F2-臺南市市立青草國小,23.0741085,120.1215782,2003
310,空品微型感測器-08BEAC0A0356-臺中市立賴厝國小,24.16296328,120.6888876,2006
311,空品微型感測器-08BEAC0A052C-嘉義縣縣立梅北國小,23.58040773,120.5599164,2009
312,空品微型感測器-08BEAC0A03D0-雲林縣縣立大同國小,23.7949092,120.3763129,2012
314,空品微型感測器-08BEAC0A03D4-嘉義縣縣立好美國小,23.33735616,120.1377478,2018
313,空品微型感測器-08BEAC0A03D2-桃園市市立僑愛國小,24.920825,121.2918322,2015
315,空品微型感測器-08BEAC0A03D8-桃園市市立三坑國小,24.836633682,121.248306274,2021
316,空品微型感測器-08BEAC0A039A-臺南市市立錦湖國小,23.2964008,120.1696971,2024
317,空品微型感測器-08BEAC0A0384-臺南市市立新嘉國小,23.37275203,120.3099137,2027
318,空品微型感測器-74DA38F7C448-新北市石碇國小,24.99,121.659,2030
319,空品微型感測器-08BEAC0A025A-臺中市立黎明國小,24.157840674,120.633674785,2033
320,空品微型感測器-08BEAC0A070E-嘉義縣縣立東石國中,23.46671013,120.2507824,2036
381,空品微型感測器-08BEAC0A02DE-雲林縣縣立平和國小,23.70745569,120.4513885,2219
382,空品微型感測器-08BEAC0A046C-桃園市市立瑞塘國小,24.91250854,121.1843681,2222
383,空品微型感測器-08BEAC0A046E-臺南市市立子龍國小,23.17429661,120.2019524,2225
384,空品微型感測器-08BEAC0A006E-臺中市立霧峰農工,24.07386045,120.7018616,2228
387,空品微型感測器-74DA38C7D5AE-雲林縣立下崙國小,23.704,120.554,2237
385,空品微型感測器-08BEAC0A026E-桃園市市立光明國中,25.0446921,121.2895314,2231
386,空品微型感測器-08BEAC0A0266-嘉義縣縣立東榮國小,23.55756889,120.4349193,2234
388,空品微型感測器-74DA38C7CEB8-嘉義市立垂楊國小,23.472,120.438,2240
389,空品微型感測器-74DA38F20D14-市立介壽國中,25.054,121.564,2243
390,空品微型感測器-08BEAC0A02D4-雲林縣縣立中溪國小,23.72657902,120.4635585,2246
392,空品微型感測器-08BEAC0A04BA-臺南市市立柳營國中,23.28012015,120.3318947,2252
391,空品微型感測器-08BEAC0A02D6-嘉義縣縣立網寮國小,23.47083895,120.1743289,2249
393,空品微型感測器-08BEAC0A006A-雲林縣縣立陽明國小,23.7852019,120.3556269,2255
321,空品微型感測器-08BEAC0A0374-臺中市立東興國小,24.15590943,120.65278016,2039
322,空品微型感測器-08BEAC0A01F0-桃園市市立龜山國中,24.9979049,121.3386703,2042
323,空品微型感測器-08BEAC0A01F4-臺南市市立重溪國小,23.285884786,120.36488425,2045
324,空品微型感測器-08BEAC0A07FA-嘉義縣縣立安和國小,23.51474793,120.3127502,2048
325,空品微型感測器-08BEAC0A0870-臺南市市立鯤鯓國小,23.1884802,120.0889161,2051
326,空品微型感測器-74DA38F7C412-新北市福隆國小,25.017,121.948,2054
327,空品微型感測器-08BEAC0A0254-嘉義縣縣立碧潭國小,23.38699058,120.2990954,2057
328,空品微型感測器-08BEAC0A0226-臺南市市立嘉南國小,23.2177881,120.3652041,2060
329,空品微型感測器-74DA38F7C53C-新北市瑞芳高工,25.11,121.804,2063
330,空品微型感測器-08BEAC0A02C2-臺南市市立建功國小,23.0940134,120.0989559,2066
331,空品微型感測器-08BEAC0A0708-臺南市南科實中,23.10706685,120.2909742,2069
332,空品微型感測器-08BEAC0A0258-臺中市立鎮平國小,24.122012918,120.629118718,2072
333,空品微型感測器-08BEAC0A0700-臺南市市立白河國中,23.362562481,120.424334072,2075
334,空品微型感測器-08BEAC0A0702-臺南市市立文賢國小,22.92238357,120.2354218,2078
335,空品微型感測器-74DA38C7D62A-新竹市立三民國小,24.813,120.981,2081
